data,S_mais,S_menos,n_categorias,ISM,recorte,ar,k
2009-07-01,0.0,0.0,384,0.0,cheio,1,2
2009-08-01,0.1252174991300035,0.40235939056243775,384,-0.2771418914324343,cheio,1,2
2009-09-01,0.16818615906920464,0.3818620906895466,384,-0.21367593162034193,cheio,1,2
2009-10-01,0.12481787372511607,0.33772436407054846,384,-0.21290649034543238,cheio,1,2
2009-11-01,0.07245456527260836,0.4038255770465377,384,-0.33137101177392936,cheio,1,2
2009-12-01,0.12360124720249441,0.5411540823081646,384,-0.4175528351056702,cheio,1,2
2010-01-01,0.1906558560648636,0.36521880868714784,384,-0.17456295262228425,cheio,1,2
2010-02-01,0.2876507259043554,0.2590975545853275,384,0.028553171319027904,cheio,1,2
2010-03-01,0.1752312990748037,0.33921964312142755,384,-0.16398834404662385,cheio,1,2
2010-04-01,0.17600835987460187,0.43621845672314913,384,-0.26021009684854723,cheio,1,2
2010-05-01,0.27906032563804617,0.3024921850468897,384,-0.023431859408843514,cheio,1,2
2010-06-01,0.21948331689990142,0.30044880269281615,384,-0.08096548579291474,cheio,1,2
2010-07-01,0.06476591026018852,0.4694801724267112,384,-0.4047142621665227,cheio,1,2
2010-08-01,0.07060585878828243,0.49662700674598653,384,-0.42602114795770407,cheio,1,2
2010-09-01,0.15217847821521785,0.35241147588524113,384,-0.20023299767002328,cheio,1,2
2010-10-01,0.24232054607672351,0.2601294392233646,384,-0.017808893146641108,cheio,1,2
2010-11-01,0.30946338107323784,0.32776134447731103,384,-0.018297963404073192,cheio,1,2
2010-12-01,0.23929211079744037,0.37643989371861836,384,-0.137147782921178,cheio,1,2
2011-01-01,0.1564238435761564,0.2679447320552679,384,-0.11152088847911151,cheio,1,2
2011-02-01,0.2182606191274295,0.18424821097853172,384,0.03401240814889778,cheio,1,2
2011-03-01,0.2488852399671597,0.22828105452949077,384,0.020604185437668926,cheio,1,2
2011-04-01,0.23599552800894402,0.3090563818872362,384,-0.0730608538782922,cheio,1,2
2011-05-01,0.2238204332569672,0.2842570102009286,384,-0.06043657694396137,cheio,1,2
2011-06-01,0.2373346613426294,0.2940850585954102,384,-0.056750397252780777,cheio,1,2
2011-07-01,0.13970639706397064,0.3009270092700927,384,-0.16122061220612205,cheio,1,2
2011-08-01,0.11302167813006879,0.3282749696498179,384,-0.2152532915197491,cheio,1,2
2011-09-01,0.16534599207595246,0.23889643337860028,384,-0.07355044130264782,cheio,1,2
2011-10-01,0.2463519708157665,0.29483035864286916,384,-0.04847838782710265,cheio,1,2
2011-11-01,0.19687557500460004,0.42387139097112775,384,-0.2269958159665277,cheio,1,2
2011-12-01,0.175917,0.310798,384,-0.13488100000000003,cheio,1,2
2012-01-01,0.1842124736997896,0.26209309674477393,365,-0.07788062304498433,cheio,1,2
2012-02-01,0.16211270309837522,0.29517863857089144,365,-0.13306593547251622,cheio,1,2
2012-03-01,0.17427521992653947,0.30628114396800776,365,-0.1320059240414683,cheio,1,2
2012-04-01,0.17689070756283024,0.3254203016812067,365,-0.1485295941183765,cheio,1,2
2012-05-01,0.18327263345473307,0.358755282489435,365,-0.17548264903470193,cheio,1,2
2012-06-01,0.16632700203798775,0.3642558144651132,365,-0.19792881242712543,cheio,1,2
2012-07-01,0.20862866902935223,0.2563950511604093,365,-0.04776638213105705,cheio,1,2
2012-08-01,0.219004780995219,0.2674657325342675,365,-0.048460951539048475,cheio,1,2
2012-09-01,0.19946720213119148,0.22353310586757652,365,-0.024065903736385036,cheio,1,2
2012-10-01,0.2445930216279135,0.18921424314302743,365,0.055378778484886065,cheio,1,2
2012-11-01,0.30050480302881816,0.2688976133856803,365,0.031607189643137856,cheio,1,2
2012-12-01,0.21311913119131193,0.22899728997289975,365,-0.015878158781587826,cheio,1,2
2013-01-01,0.2346952346952347,0.27924427924427925,365,-0.04454904454904454,cheio,1,2
2013-02-01,0.31731836536326924,0.22517054965890068,365,0.09214781570436856,cheio,1,2
2013-03-01,0.2576807423192577,0.20693679306320695,365,0.05074394925605075,cheio,1,2
2013-04-01,0.2040502243013458,0.32378394270365624,365,-0.11973371840231042,cheio,1,2
2013-05-01,0.2648373516264837,0.3804291957080429,365,-0.1155918440815592,cheio,1,2
2013-06-01,0.2186974691177162,0.2855230013389906,365,-0.06682553222127441,cheio,1,2
2013-07-01,0.2146265707468585,0.3210803578392843,365,-0.10645378709242578,cheio,1,2
2013-08-01,0.21983043966087934,0.2960655921311843,365,-0.07623515247030493,cheio,1,2
2013-09-01,0.2673797326202674,0.3061886938113062,365,-0.03880896119103883,cheio,1,2
2013-10-01,0.23638805444778221,0.22766308934764262,365,0.008724965100139592,cheio,1,2
2013-11-01,0.195652,0.18791,365,0.007741999999999999,cheio,1,2
2013-12-01,0.22105732634395808,0.18709512257073543,365,0.03396220377322265,cheio,1,2
2014-01-01,0.2819186915121491,0.21870831224987353,373,0.06321037926227557,cheio,1,2
2014-02-01,0.31254793764381295,0.16475149425448277,373,0.14779644338933018,cheio,1,2
2014-03-01,0.38528407357963207,0.11160244198779005,373,0.273681631591842,cheio,1,2
2014-04-01,0.23060730607306074,0.20351903519035192,373,0.02708827088270882,cheio,1,2
2014-05-01,0.23923843543061257,0.21939631637789828,373,0.019842119052714297,cheio,1,2
2014-06-01,0.38263,0.216004,373,0.16662600000000002,cheio,1,2
2014-07-01,0.32916832916832917,0.24487324487324488,373,0.08429508429508428,cheio,1,2
2014-08-01,0.26473194107223574,0.19289322842708628,373,0.07183871264514946,cheio,1,2
2014-09-01,0.23710386606520542,0.20244017803839767,373,0.03466368802680775,cheio,1,2
2014-10-01,0.2022376179009432,0.2308738469907759,373,-0.02863622908983271,cheio,1,2
2014-11-01,0.2170309532785795,0.2640723766513899,373,-0.04704142337281039,cheio,1,2
2014-12-01,0.2292466877400632,0.21390864172592516,373,0.015338046014138046,cheio,1,2
2015-01-01,0.3181116362232725,0.23428546857093716,373,0.08382616765233533,cheio,1,2
2015-02-01,0.33053963593599534,0.17922697149668648,373,0.15131266443930885,cheio,1,2
2015-03-01,0.3688352623294754,0.14481771036457927,373,0.22401755196489612,cheio,1,2
2015-04-01,0.31502405492783525,0.14977355067934797,373,0.16525050424848728,cheio,1,2
2015-05-01,0.2996087976527859,0.1619769718618312,373,0.13763182579095473,cheio,1,2
2015-06-01,0.362596,0.130006,373,0.23258999999999996,cheio,1,2
2015-07-01,0.3783444050996459,0.12184509660586945,373,0.25649930849377645,cheio,1,2
2015-08-01,0.24528450943098112,0.21148457703084592,373,0.03379993240013521,cheio,1,2
2015-09-01,0.18364646917175337,0.18727249817998542,373,-0.0036260290082320568,cheio,1,2
2015-10-01,0.3367000101000303,0.1997565992697978,373,0.1369434108302325,cheio,1,2
2015-11-01,0.29410876465258795,0.1982381894291366,373,0.09587057522345135,cheio,1,2
2015-12-01,0.25248299006803976,0.282124871500514,373,-0.02964188143247426,cheio,1,2
2016-01-01,0.2932791201626395,0.2446412660762018,373,0.048637854086437726,cheio,1,2
2016-02-01,0.31471,0.24968100000000001,373,0.06502899999999998,cheio,1,2
2016-03-01,0.24832776505011456,0.349480854672308,373,-0.10115308962219344,cheio,1,2
2016-04-01,0.21502864508593525,0.36677810033430097,373,-0.15174945524836572,cheio,1,2
2016-05-01,0.25748848502302996,0.3345193309613381,373,-0.07703084593830817,cheio,1,2
2016-06-01,0.22985660899626295,0.2622898360288522,373,-0.032433227032589246,cheio,1,2
2016-07-01,0.19903439806879614,0.3401626803253606,373,-0.14112828225656449,cheio,1,2
2016-08-01,0.17644264711470575,0.2134045731908536,373,-0.036961926076147844,cheio,1,2
2016-09-01,0.2306210755896803,0.2947826530438774,373,-0.0641615774541971,cheio,1,2
2016-10-01,0.1845733691467383,0.36967273934547873,373,-0.18509937019874043,cheio,1,2
2016-11-01,0.19834619834619835,0.3367913367913368,373,-0.13844513844513848,cheio,1,2
2016-12-01,0.23238,0.37150500000000003,373,-0.13912500000000003,cheio,1,2
2017-01-01,0.1833796332407335,0.34812330375339245,373,-0.16474367051265895,cheio,1,2
2017-02-01,0.13723,0.394591,373,-0.25736100000000006,cheio,1,2
2017-03-01,0.143250286500573,0.36159972319944644,373,-0.21834943669887344,cheio,1,2
2017-04-01,0.1222368556579896,0.42861400029800206,373,-0.3063771446400125,cheio,1,2
2017-05-01,0.10549352746763734,0.5051385256926285,373,-0.39964499822499117,cheio,1,2
2017-06-01,0.12099524199048399,0.4153498306996614,373,-0.2943545887091774,cheio,1,2
2017-07-01,0.16853349439951681,0.3339759980720058,373,-0.16544250367248897,cheio,1,2
2017-08-01,0.1894088635468187,0.327445035329788,373,-0.1380361717829693,cheio,1,2
2017-09-01,0.13354859935420194,0.35194994415016756,373,-0.21840134479596562,cheio,1,2
